id,start_position,end_position,mgi_id,entrez_id,chromosome,reference_genome_id,created_at,created_by,updated_at,updated_by
dcc4d87a-bc71-4589-a0a0-5ce21225251f,,,,,,602f0867-58da-4644-93f0-e5c6621d1977,,,,
a51c1599-215b-418b-9209-16a47ce391ee,,,,,,25cfe65a-20b6-4bac-b968-6b3ae243ed56,,,,
f97faf06-3dfc-4211-bcb0-af084b1a304d,,,,,,d0b82f54-c7f9-4039-939d-887a83579075,,,,
624aa91a-36d6-4bce-bfed-ec744e2f7609,,,,,,1a35a59b-93c6-4205-90e6-bbe2ffd3835e,,,,
42038598-1029-4f74-8f60-af7f433288ce,,,,,,3cf2e65a-38f9-41e1-9762-2f366e25b0cc,,,,
53d19e09-eaa0-479c-8c67-b93527ec3325,,,,,,4daa1635-f0b3-4403-9f25-73d9f46e7cc7,,,,
25ebda98-3362-4ba6-bcab-a10322810f41,,,,,,e7ca146d-1dee-4107-ace6-70b5a7fef94e,,,,
20c28d7f-0a0c-4e22-8618-a95da2c5d3ee,,,,,,bef6a344-2715-4c75-89ea-e82a1911aae9,,,,
43dd89e7-dd02-4f8c-a340-cbb24edc96e0,,,,,,c7bf83ac-48f1-4099-9dbc-036e52513c4c,,,,
202f45af-649e-46d9-9d5d-bf2a14b38462,,,,,,4daa1635-f0b3-4403-9f25-73d9f46e7cc7,,,,
93fa3244-752b-4bfb-99aa-e1428fdbf3f6,,,,,,1aa055f0-0505-41bc-8758-ecdc540992ac,,,,
726545ea-ee9f-4a3d-aef1-9adc807ee157,,,,,,1aa055f0-0505-41bc-8758-ecdc540992ac,,,,
3f1067bc-cb80-4e61-a70d-64d515fe42b7,,,,,,d09f9969-1048-45c0-af4b-ae281cc048d0,,,,
9499c01e-81da-430e-8386-64591d3fbe06,,,,,,4389f073-e038-40c1-b898-16a5374c4abd,,,,
630d2927-2d7b-49c9-a899-f1fb3f569700,,,,,,e674ecb2-dbc2-4c4b-88fb-e51fefe4b646,,,,
ccd1b6e8-d302-48c6-bc8e-c82b04c39647,,,,,,825ed92a-47db-4526-959d-ed512521af76,,,,
57041c43-4ba6-456c-98ea-518b83e993eb,,,,,,9a7f0a78-a943-4d29-8d96-ec779736b4b2,,,,
1944b4f4-1f6a-47ef-b0e7-1f6e5caaf832,,,,,,3b195a23-4f76-45e7-b10e-dfa05ad794da,,,,
7c0d2f2d-de3b-49e8-850a-1c085021b8ef,,,,,,21d9e17b-eec9-40f6-85c5-5e5b199919b5,,,,
7b831b51-89bc-4b3f-9fa9-ac81c7d7ecdc,,,,,,1f22a9e4-0b84-4581-a449-81604c82dfb1,,,,
d42aae3f-ef90-48f3-a75b-8a4ccdec997b,,,,,,85bbb32b-bf31-40c8-8d62-fab1de72ceed,,,,
71d1da1d-2702-4cab-bd4a-01d29385a3b3,,,,,,c011d13e-1a9a-4b29-bb96-1f00df4b3cf7,,,,
fbdf9b7e-442c-4ecc-acfc-7d95d7510f54,,,,,,85bbb32b-bf31-40c8-8d62-fab1de72ceed,,,,
50e2ae81-d0fc-4411-ad85-1b737655178c,,,,,,25cfe65a-20b6-4bac-b968-6b3ae243ed56,,,,
2d7bcc17-4bcf-4a89-aeb5-ea67b2956cb8,,,,,,d31cbfed-8c88-4e42-9add-4b937c6ba9d3,,,,
